Epoch,Step,Train Loss,Train Recon,Train KL,Train β-KL,Train SupCon,Val Loss,Val Recon,Val KL,Val β-KL,Val SupCon
14,176000,4.4058,0.9206,26.779999999999998,0.6695,3.7542,4.3017,0.8182,26.7551,0.6689,3.7528
14,178000,4.4103,0.9217,26.791999999999998,0.6698,3.7583,4.3037,0.8165,26.8895,0.6722,3.7533
14,180000,4.4081,0.9211,26.811999999999998,0.6703,3.7556,4.3029,0.8185,26.7804,0.6695,3.7533
14,182000,4.4051,0.9188,26.808,0.6702,3.7547,4.3031,0.8167,26.8595,0.6715,3.7532
14,184000,4.4057,0.9173,26.84,0.671,3.7566,4.3024,0.819,26.749,0.6687,3.7529
14,186000,4.4055,0.9162,26.84,0.671,3.7577,4.3023,0.8139,26.969,0.6742,3.7523
15,188000,4.4018,0.9156,26.844,0.6711,3.7536,4.3005,0.8188,26.6995,0.6675,3.7524
15,190000,4.401,0.9127,26.868,0.6717,3.7554,4.2993,0.8156,26.787,0.6697,3.752
15,192000,4.4038,0.9115,26.884,0.6721,3.7602,4.2985,0.8109,26.9299,0.6732,3.7524
15,194000,4.399,0.9118,26.892,0.6723,3.7532,4.298,0.8101,26.9287,0.6732,3.7529
15,196000,4.4004,0.9112,26.907999999999998,0.6727,3.7552,4.2971,0.8088,26.9472,0.6737,3.7529
15,198000,4.4005,0.9094,26.92,0.673,3.7575,4.298,0.8065,27.0982,0.6775,3.752
15,200000,4.3984,0.9086,26.944,0.6736,3.755,4.2955,0.81,26.8513,0.6713,3.7522
16,202000,4.3964,0.9071,26.936,0.6734,3.7545,4.2944,0.8002,27.1978,0.6799,3.7523
16,204000,4.3961,0.9056,26.956,0.6739,3.7555,4.2956,0.8116,26.8161,0.6704,3.7516
16,206000,4.3976,0.9047,26.968,0.6742,3.7583,4.2958,0.8076,26.949,0.6737,3.7527
16,208000,4.3925,0.9027,26.983999999999998,0.6746,3.7536,4.2954,0.7999,27.2623,0.6816,3.7519
16,210000,4.3926,0.9024,26.996000000000002,0.6749,3.7539,4.2941,0.8023,27.1024,0.6776,3.7523
16,212000,4.394,0.9008,27.023999999999997,0.6756,3.7569,4.289,0.7989,27.0339,0.6758,3.7524
16,214000,4.3909,0.9003,27.023999999999997,0.6756,3.7533,4.2919,0.7997,27.1485,0.6787,3.7514
17,216000,4.3888,0.8991,27.031999999999996,0.6758,3.7519,4.291,0.8028,26.9867,0.6747,3.7514
17,218000,4.3909,0.8984,27.04,0.676,3.7553,4.2897,0.7995,27.0655,0.6766,3.7514
17,220000,4.3886,0.8968,27.048,0.6762,3.7542,4.2898,0.802,26.937,0.6734,3.7524
17,222000,4.389,0.894,27.084,0.6771,3.7573,4.2895,0.7958,27.1909,0.6798,3.7519
17,224000,4.3889,0.8956,27.080000000000002,0.677,3.755,4.2892,0.7954,27.1941,0.6799,3.7518
17,226000,4.3903,0.8954,27.104,0.6776,3.7565,4.2869,0.7937,27.1702,0.6793,3.7519
18,228000,4.3856,0.8932,27.107999999999997,0.6777,3.753,4.2857,0.7983,26.9447,0.6736,3.7517
18,230000,4.3868,0.8921,27.128,0.6782,3.7553,4.2916,0.7981,27.2117,0.6803,3.751
18,232000,4.3836,0.8902,27.128,0.6782,3.7536,4.2853,0.7921,27.1678,0.6792,3.752
18,234000,4.3836,0.8888,27.144,0.6786,3.755,4.2857,0.7949,27.0945,0.6774,3.7513
18,236000,4.3847,0.8901,27.155999999999995,0.6789,3.7541,4.2867,0.7943,27.1636,0.6791,3.7511
18,238000,4.3839,0.8882,27.168,0.6792,3.7554,4.2842,0.7865,27.3518,0.6838,3.7519
18,240000,4.3845,0.8881,27.172,0.6793,3.7561,4.2831,0.7878,27.2686,0.6817,3.7515
19,242000,4.3801,0.8859,27.188,0.6797,3.7527,4.283,0.7894,27.2225,0.6806,3.7508
19,244000,4.3822,0.8858,27.208,0.6802,3.755,4.2829,0.7897,27.2037,0.6801,3.7509
19,246000,4.378,0.8841,27.227999999999998,0.6807,3.751,4.281,0.794,26.9428,0.6736,3.7513
19,248000,4.3787,0.8819,27.223999999999997,0.6806,3.7549,4.2815,0.7843,27.3363,0.6834,3.7516
19,250000,4.3793,0.8818,27.244,0.6811,3.7552,4.2828,0.7896,27.1768,0.6794,3.7517
19,252000,4.3818,0.8819,27.252,0.6813,3.7581,4.279,0.7824,27.3307,0.6833,3.7511
19,254000,4.3771,0.8814,27.267999999999997,0.6817,3.7521,4.2861,0.7858,27.4942,0.6874,3.7506
20,256000,4.3766,0.8786,27.284,0.6821,3.7546,4.2779,0.7851,27.1846,0.6796,3.7509
20,258000,4.3747,0.8784,27.284,0.6821,3.7523,4.2782,0.782,27.3205,0.683,3.751
20,260000,4.3752,0.8769,27.296,0.6824,3.7544,4.2793,0.7822,27.3531,0.6838,3.7511
20,262000,4.3751,0.877,27.304,0.6826,3.7541,4.2788,0.7774,27.5188,0.688,3.7514
20,264000,4.3753,0.8768,27.315999999999995,0.6829,3.7541,4.2762,0.7788,27.3673,0.6842,3.751
20,266000,4.3746,0.8753,27.348,0.6837,3.7542,4.2754,0.7819,27.2175,0.6804,3.7508
21,268000,4.3755,0.8764,27.343999999999998,0.6836,3.7541,4.2777,0.7832,27.2541,0.6814,3.7508
21,270000,4.3722,0.8723,27.348,0.6837,3.755,4.2769,0.7816,27.3109,0.6828,3.7501
21,272000,4.3745,0.874,27.375999999999998,0.6844,3.7548,4.2756,0.7804,27.2908,0.6823,3.7506
21,274000,4.3715,0.872,27.383999999999997,0.6846,3.7532,4.2745,0.7805,27.2418,0.681,3.7506
21,276000,4.3697,0.8713,27.400000000000002,0.685,3.7513,4.2725,0.7761,27.3427,0.6836,3.7504
21,278000,4.3737,0.8713,27.391999999999996,0.6848,3.7567,4.274,0.7758,27.4235,0.6856,3.7502
21,280000,4.3695,0.8702,27.400000000000002,0.685,3.7524,4.2731,0.775,27.3987,0.685,3.7508
22,282000,4.3679,0.8684,27.416,0.6854,3.752,4.2734,0.7776,27.3211,0.683,3.7503
22,284000,4.3672,0.8687,27.419999999999998,0.6855,3.7506,4.2732,0.7798,27.2168,0.6804,3.7507
22,286000,4.3691,0.8692,27.448,0.6862,3.7516,4.2736,0.7727,27.5189,0.688,3.7506
22,288000,4.3668,0.8656,27.448,0.6862,3.7534,4.2708,0.7671,27.6432,0.6911,3.7501
22,290000,4.3668,0.8659,27.448,0.6862,3.753,4.2699,0.7699,27.4778,0.6869,3.7508
22,292000,4.3677,0.8653,27.467999999999996,0.6867,3.7544,4.2706,0.771,27.4604,0.6865,3.7508
22,294000,4.3667,0.8646,27.467999999999996,0.6867,3.7538,4.2714,0.7802,27.1543,0.6789,3.7497
23,296000,4.3675,0.8649,27.48,0.687,3.7542,4.2709,0.761,27.8892,0.6972,3.7502
23,298000,4.3651,0.8631,27.484,0.6871,3.7532,4.2707,0.7757,27.2933,0.6823,3.7502
23,300000,4.363,0.8618,27.511999999999997,0.6878,3.7511,4.2699,0.7743,27.3004,0.6825,3.7508
23,302000,4.3663,0.8619,27.508,0.6877,3.7555,4.2706,0.7701,27.5194,0.688,3.7501
23,304000,4.3635,0.8608,27.511999999999997,0.6878,3.7533,4.2715,0.7731,27.4215,0.6855,3.7505
23,306000,4.3643,0.8615,27.532,0.6883,3.7526,4.2687,0.7655,27.6321,0.6908,3.7498
23,308000,4.3634,0.8606,27.528,0.6882,3.7528,4.2688,0.7707,27.4416,0.686,3.7494
24,310000,4.3634,0.8597,27.548,0.6887,3.7534,4.27,0.7702,27.4972,0.6874,3.7498
